employeeID,Name,Role,contact,Shift
101,Gearalt Gallymore,coach,ggallymore2s@woothemes.com,9 AM - 5 PM
102,Arline Bisley,manager,abisley2t@mlb.com,9 AM - 5 PM
103,Tatiania Lilliman,hitting coach,tlilliman2u@dagondesign.com,10 AM - 6 PM
104,Tremaine Dutnell,manager,tdutnell2v@theatlantic.com,11 AM - 7 PM
105,Staford Trewin,scout,strewin2w@irs.gov,11 AM - 7 PM
106,Raoul Jerrolt,manager,rjerrolt2x@salon.com,11 AM - 7 PM
107,Sharon Ilyas,scout,silyas2y@com.com,8 AM - 4 PM
108,Merilee Ottewill,pitching coach,mottewill2z@hibu.com,12 PM - 8 PM
109,Joete Ickovitz,bullpen coach,jickovitz30@archive.org,8 AM - 4 PM
110,Rustie Fletham,bench coach,rfletham31@columbia.edu,12 PM - 8 PM
111,Nixie Patmore,hitting coach,npatmore32@thetimes.co.uk,11 AM - 7 PM
112,Tiffany Renals,scout,trenals33@chicagotribune.com,10 AM - 6 PM
113,Row Thies,hitting coach,rthies34@flavors.me,12 PM - 8 PM
114,Ermengarde Klaves,first base coach,eklaves35@google.pl,10 AM - 6 PM
115,Tabina Barnewille,coach,tbarnewille36@biglobe.ne.jp,9 AM - 5 PM
116,Lenka Harper,bullpen coach,lharper37@opera.com,11 AM - 7 PM
117,Zechariah Goodbody,bench coach,zgoodbody38@dyndns.org,9 AM - 5 PM
118,Jayson Eliesco,scout,jeliesco39@pcworld.com,10 AM - 6 PM
119,Padgett Leete,third base coach,pleete3a@webnode.com,12 PM - 8 PM
120,Jaquenetta Ferri,third base coach,jferri3b@noaa.gov,11 AM - 7 PM
